type,julian,lucy
Airhead,0,1
Almond Joy,2,1
Baby Ruth,0,1
Bubble Gum,3,2
Butterfinger,0,2
Candy Necklace,1,1
Cheetos,1,1
Crunch Bar,3,2
Fruit snacks,1,2
Heath,4,0
Hershey's,12,1
Inedible,2,1
Jolly Rancher,0,1
Kit Kat,8,4
Krackle,0,1
Laffy Taffy,3,2
M&Ms,5,2
Milky Way,4,2
Nerds,1,1
Nutra-Grain Bar,1,1
Pretzels,1,1
Reese's,9,2
Ring pop,1,0
Skittles,6,0
Smarties,5,3
Snickers,4,4
Starburst,7,3
Suckers,4,6
Sweet Tarts / Bottlecaps,3,1
Three Musketeers,3,2
Tootsie Rolls,19,6
Twix,3,5
Twizzlers,1,4
Whoppers,1,6
York,1,0